ST_CD,MAJCAT,MERCHCAT,BODY,MC_BODY_CONT_1,MC_BODY_CONT_2,MC_BODY_CONT_3,MC_BODY_CONT_4,MC_BODY_CONT_5,MC_BODY_CONT_6,MC_BODY_CONT_7,MC_BODY_CONT_8,MC_BODY_CONT_9,MC_BODY_CONT_10,MC_BODY_CONT_11,MC_BODY_CONT_12
HA10,M_JEANS,M_BLK_JEANS,5_PKT,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HA10,M_JEANS,M_BLK_JEANS,A_FIT,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HA10,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLK_JEANS,PLN_BODY,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HA10,M_JEANS,M_BLK_JEANS,R_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_BLK_JEANS,RN,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%,27%
HA10,M_JEANS,M_BLU_JEANS,5_PKT,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HA10,M_JEANS,M_BLU_JEANS,A_FIT,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HA10,M_JEANS,M_BLU_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_BLU_JEANS,PLN_BODY,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HA10,M_JEANS,M_BLU_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,5_PKT,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HA10,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,A_FIT,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HA10,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HA10,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_COL_JEANS,PLN_BODY,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HA10,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HA10,M_JEANS,M_COL_JEANS,R_FIT,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HA10,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,5_PKT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HA10,M_JEANS,M_JGR_JEANS,C&S,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%
HA10,M_JEANS,M_JGR_JEANS,C_PKT,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HA10,M_JEANS,M_JGR_JEANS,CARGO,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HA10,M_JEANS,M_JGR_JEANS,CRG_PKT,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HA10,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HA10,M_JEANS,M_JGR_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,5_PKT,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB05,M_JEANS,M_BLK_JEANS,A_FIT,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB05,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLK_JEANS,KNIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,PLN_BODY,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB05,M_JEANS,M_BLK_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLK_JEANS,RN,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB05,M_JEANS,M_BLU_JEANS,5_PKT,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%,74%
HB05,M_JEANS,M_BLU_JEANS,A_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_BLU_JEANS,KNIT,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB05,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_BLU_JEANS,PLN_BODY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB05,M_JEANS,M_BLU_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_COL_JEANS,5_PKT,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%,59%
HB05,M_JEANS,M_COL_JEANS,5PC,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,A_FIT,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB05,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,DBY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB05,M_JEANS,M_COL_JEANS,KNIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB05,M_JEANS,M_COL_JEANS,PRT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_COL_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB05,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB05,M_JEANS,M_JGR_JEANS,C_PKT,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%,33%
HB05,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB05,M_JEANS,M_JGR_JEANS,CRG_PKT,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%,28%
HB05,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB05,M_JEANS,M_JGR_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB06,M_JEANS,M_BLK_JEANS,5_PKT,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%,51%
HB06,M_JEANS,M_BLK_JEANS,A_FIT,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HB06,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLK_JEANS,PLN_BODY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB06,M_JEANS,M_BLK_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_BLK_JEANS,RN,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB06,M_JEANS,M_BLU_JEANS,5_PKT,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%
HB06,M_JEANS,M_BLU_JEANS,A_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB06,M_JEANS,M_BLU_JEANS,KNIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB06,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_BLU_JEANS,PLN_BODY,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB06,M_JEANS,M_BLU_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB06,M_JEANS,M_BLU_JEANS,RN,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB06,M_JEANS,M_COL_JEANS,5_PKT,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%,55%
HB06,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,A_FIT,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB06,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,DBY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB06,M_JEANS,M_COL_JEANS,KNIT,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB06,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_COL_JEANS,PLN_BODY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB06,M_JEANS,M_COL_JEANS,PRT,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB06,M_JEANS,M_COL_JEANS,R_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB06,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,5_PKT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB06,M_JEANS,M_JGR_JEANS,C&S,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%
HB06,M_JEANS,M_JGR_JEANS,C_PKT,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HB06,M_JEANS,M_JGR_JEANS,CARGO,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB06,M_JEANS,M_JGR_JEANS,CRG_PKT,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%,32%
HB06,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB06,M_JEANS,M_JGR_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_BLK_JEANS,5_PKT,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HB07,M_JEANS,M_BLK_JEANS,A_FIT,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%,23%
HB07,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLK_JEANS,PLN_BODY,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%,12%
HB07,M_JEANS,M_BLK_JEANS,R_FIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_BLK_JEANS,RN,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HB07,M_JEANS,M_BLU_JEANS,5_PKT,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HB07,M_JEANS,M_BLU_JEANS,A_FIT,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%,8%
HB07,M_JEANS,M_BLU_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,PLN_BODY,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%,19%
HB07,M_JEANS,M_BLU_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_BLU_JEANS,RN,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB07,M_JEANS,M_COL_JEANS,5_PKT,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%,68%
HB07,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,A_FIT,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB07,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB07,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB07,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB07,M_JEANS,M_COL_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB07,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB07,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB07,M_JEANS,M_JGR_JEANS,C_PKT,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%,24%
HB07,M_JEANS,M_JGR_JEANS,CARGO,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB07,M_JEANS,M_JGR_JEANS,CRG_PKT,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%,38%
HB07,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB07,M_JEANS,M_JGR_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB08,M_JEANS,M_BLK_JEANS,5_PKT,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%,65%
HB08,M_JEANS,M_BLK_JEANS,A_FIT,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%,6%
HB08,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLK_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB08,M_JEANS,M_BLK_JEANS,PLN_BODY,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_BLK_JEANS,R_FIT,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%,4%
HB08,M_JEANS,M_BLK_JEANS,RN,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%,21%
HB08,M_JEANS,M_BLU_JEANS,5_PKT,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%,76%
HB08,M_JEANS,M_BLU_JEANS,A_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB08,M_JEANS,M_BLU_JEANS,KNIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB08,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_BLU_JEANS,PLN_BODY,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB08,M_JEANS,M_BLU_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_COL_JEANS,5_PKT,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%,52%
HB08,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,A_FIT,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HB08,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,KNIT,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB08,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB08,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB08,M_JEANS,M_COL_JEANS,R_FIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB08,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB08,M_JEANS,M_JGR_JEANS,C&S,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%,29%
HB08,M_JEANS,M_JGR_JEANS,C_PKT,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB08,M_JEANS,M_JGR_JEANS,CARGO,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%,7%
HB08,M_JEANS,M_JGR_JEANS,CRG_PKT,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%,53%
HB08,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB08,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_BLK_JEANS,5_PKT,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%,49%
HB09,M_JEANS,M_BLK_JEANS,A_FIT,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%,20%
HB09,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_BLK_JEANS,PLN_BODY,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%,16%
HB09,M_JEANS,M_BLK_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB09,M_JEANS,M_BLK_JEANS,RN,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%,14%
HB09,M_JEANS,M_BLU_JEANS,5_PKT,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%,80%
HB09,M_JEANS,M_BLU_JEANS,A_FIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB09,M_JEANS,M_BLU_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB09,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_BLU_JEANS,PLN_BODY,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%,10%
HB09,M_JEANS,M_BLU_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB09,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB09,M_JEANS,M_COL_JEANS,5_PKT,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%,70%
HB09,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_COL_JEANS,A_FIT,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%,13%
HB09,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_COL_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_COL_JEANS,KNIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB09,M_JEANS,M_COL_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_COL_JEANS,PLN_BODY,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB09,M_JEANS,M_COL_JEANS,PRT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB09,M_JEANS,M_COL_JEANS,R_FIT,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%,3%
HB09,M_JEANS,M_COL_JEANS,SLK,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_JGR_JEANS,5_PKT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB09,M_JEANS,M_JGR_JEANS,C&S,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%,42%
HB09,M_JEANS,M_JGR_JEANS,C_PKT,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%,11%
HB09,M_JEANS,M_JGR_JEANS,CARGO,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB09,M_JEANS,M_JGR_JEANS,CRG_PKT,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%,39%
HB09,M_JEANS,M_JGR_JEANS,CRS_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_JGR_JEANS,PLN_BODY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB09,M_JEANS,M_JGR_JEANS,R_FIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_BLK_JEANS,5_PKT,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%,57%
HB10,M_JEANS,M_BLK_JEANS,A_FIT,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%,18%
HB10,M_JEANS,M_BLK_JEANS,DBY,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_BLK_JEANS,KNIT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_BLK_JEANS,PLN_BODY,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB10,M_JEANS,M_BLK_JEANS,R_FIT,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB10,M_JEANS,M_BLK_JEANS,RN,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%,22%
HB10,M_JEANS,M_BLU_JEANS,5_PKT,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HB10,M_JEANS,M_BLU_JEANS,A_FIT,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%,5%
HB10,M_JEANS,M_BLU_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
HB10,M_JEANS,M_BLU_JEANS,OD,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_BLU_JEANS,PLN_BODY,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%,15%
HB10,M_JEANS,M_BLU_JEANS,R_FIT,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%,9%
HB10,M_JEANS,M_BLU_JEANS,RN,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB10,M_JEANS,M_COL_JEANS,5_PKT,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%,67%
HB10,M_JEANS,M_COL_JEANS,5PC,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_COL_JEANS,A_FIT,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%,17%
HB10,M_JEANS,M_COL_JEANS,C_PKT,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%
HB10,M_JEANS,M_COL_JEANS,DBY,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%,1%
HB10,M_JEANS,M_COL_JEANS,KNIT,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%,2%
